CustomerID,TotalFrequency,TotalSpent,PredictedChurnProbabilityPercentage,PredictedNoChurnProbabilityPercentage
29825,12,475892.04,54.51665203276848,45.48334796723152
29672,6,3205.16,89.12370399537495,10.876296004625047
29734,12,469357.29,54.84566586000273,45.15433413999727
29994,12,824331.77,36.9041703397756,63.0958296602244
29565,8,5537.26,85.43439544350808,14.56560455649192
29898,4,167617.42,84.38456037279892,15.615439627201084
29580,12,815914.25,37.329648275085724,62.670351724914276
30052,4,21863.9,91.75245489047049,8.247545109529511
29974,5,87227.32,86.7361690520014,13.2638309479986
29614,12,901346.86,33.01131098441692,66.98868901558308
29747,9,20895.92,82.87235143764724,17.12764856235276
29566,4,29903.95,91.34580981991883,8.654190180081173
29890,8,14794.64,84.96646534904076,15.03353465095924
30067,12,442054.09,56.22704905007585,43.77295094992415
29844,12,452727.93,55.68752156394813,44.31247843605187
29596,4,41264.04,90.78712740056585,9.21287259943415
29827,12,801766.21,38.044785138186015,61.955214861813985
29811,12,170328.56,69.96188038703,30.038119612969993
29824,9,92111.64,79.27263115100459,20.72736884899541
29889,8,303576.43,70.36949619846584,29.63050380153416
29761,12,66752.62,75.19730330244933,24.802696697550672
29759,4,29004.63,91.3882453694276,8.611754630572406
29497,12,789884.29,38.645377092718995,61.354622907281005
29912,4,92154.31,88.19897183198846,11.801028168011541
30084,8,9336.93,85.24233462910462,14.757665370895381
29606,10,16030.15,81.33258581297483,18.667414187025173
29610,7,18398.33,86.57002496441311,13.429975035586892
29718,8,102216.08,80.54759924678815,19.452400753211847
29646,12,820383.55,37.103739867825446,62.896260132174554
29533,12,93332.01,73.85380260640076,26.146197393599238
29570,12,61854.54,75.44662186204445,24.553378137955548
29992,12,483162.61,54.149148645532605,45.850851354467395
29491,4,98273.55,87.81469138975348,12.185308610246523
29549,8,238924.26,73.63745063218457,26.362549367815433
29958,9,173851.93,75.14092848551064,24.859071514489358
29849,7,5959.04,87.19882604661427,12.801173953385728
21768,2,4550.68,96.19854953011935,3.801450469880649
28389,1,3756.99,98.02438223342887,1.9756177665711334
25863,2,5117.38,96.16989495452201,3.8301050454779926
14501,2,3308.47,96.26134014336913,3.738659856630875
11003,3,8993.92,94.18824342727841,5.811756572721592
27645,2,6686.7,96.09058074841396,3.909419251586044
16624,2,6561.77,96.0968967023014,3.903103297698607
11005,3,8974.07,94.1892482857474,5.8107517142526035
11011,3,8987.01,94.18859585915368,5.811404140846321
27621,2,6598.32,96.09504806657004,3.904951933429956
27616,2,6628.46,96.09352448311807,3.906475516881926
20042,2,3481.19,96.25260844956738,3.7473915504326243
16351,2,6489.95,96.10052581344196,3.899474186558038
16517,2,5192.13,96.16612630654328,3.8338736934567237
27606,2,6627.05,96.09359585961563,3.9064041403843675
13513,2,6539.66,96.0980131365293,3.9019868634706967
27601,1,3953.99,98.01442453172379,1.9855754682762097
13591,3,9232.57,94.17614067759186,5.82385932240814
16483,2,4550.68,96.19854953011935,3.801450469880649
16529,2,5251.79,96.16311072685865,3.8368892731413524
25249,2,2064.76,96.32418927959858,3.675810720401415
27668,2,6637.25,96.09308196133316,3.906918038666845
27612,1,3953.99,98.01442453172379,1.9855754682762097
13264,4,8028.44,92.45135844540816,7.548641554591839
13590,3,9178.46,94.17891625027846,5.821083749721538
13581,3,9254.14,94.17508687202965,5.824913127970348
14520,2,1661.45,96.3445905986333,3.655409401366697
16520,2,5224.15,96.16451678972187,3.8354832102781273
13258,4,9819.62,92.36073222950733,7.6392677704926655
14560,2,1700.13,96.342635586352,3.657364413647997
16607,2,6516.77,96.09917015070222,3.9008298492977787
27666,1,3953.99,98.01442453172379,1.9855754682762097
11238,4,8334.76,92.4358706203312,7.564129379668799
25861,1,3756.99,98.02438223342887,1.9756177665711334
16629,2,6556.25,96.09717488472529,3.902825115274709
11025,3,7267.36,94.27551769376299,5.724482306237007
27577,1,3953.99,98.01442453172379,1.9855754682762097
27604,1,3953.99,98.01442453172379,1.9855754682762097
16522,2,5192.13,96.16612630654328,3.8338736934567237
11002,3,8966.01,94.1896548430383,5.810345156961702
13261,4,7956.64,92.45499072687392,7.545009273126084
11606,2,6544.06,96.09779055915033,3.902209440849674
13563,2,6572.79,96.09633795957193,3.903662040428074
16527,2,5251.79,96.16311072685865,3.8368892731413524
27671,2,6627.05,96.09359585961563,3.9064041403843675
13576,3,9205.52,94.17753739670816,5.822462603291839
11007,3,9073.16,94.18423361244189,5.815766387558114
16631,2,6520.11,96.09900132469372,3.9009986753062833
16514,2,5261.72,96.16260998082943,3.83739001917057
16616,2,6536.67,96.0981643471723,3.9018356528276996
27623,2,6612.62,96.09432604600318,3.905673953996825
27625,2,6598.32,96.09504806657004,3.904951933429956
27636,2,6642.5,96.09281467538945,3.907185324610552
11591,2,6514.24,96.09929803387622,3.9007019661237763
11592,2,6492.48,96.10039793026753,3.8996020697324667
13265,4,8021.81,92.45165335512812,7.548346644871884
16482,2,5286.03,96.1614399963713,3.8385600036287
27617,2,6603.83,96.09476955420223,3.90523044579777
27670,2,6603.83,96.09476955420223,3.90523044579777
19941,2,3401.25,96.25665027435927,3.7433497256407264
11017,3,7109.91,94.28347023278864,5.716529767211355
27646,2,6627.05,96.09359585961563,3.9064041403843675
